City,Candidate,Party,Votes,Won
Abington,Maura Healey,DEM,3320,TRUE
Abington,Geoff Diehl,REP,3177,FALSE
Abington,Kevin Reed,LIB,83,FALSE
Acton,Maura Healey,DEM,7936,TRUE
Acton,Geoff Diehl,REP,2154,FALSE
Acton,Kevin Reed,LIB,168,FALSE
Acushnet,Maura Healey,DEM,1735,FALSE
Acushnet,Geoff Diehl,REP,2323,TRUE
Acushnet,Kevin Reed,LIB,74,FALSE
Adams,Maura Healey,DEM,1873,TRUE
Adams,Geoff Diehl,REP,965,FALSE
Adams,Kevin Reed,LIB,52,FALSE
Agawam,Maura Healey,DEM,5160,FALSE
Agawam,Geoff Diehl,REP,5949,TRUE
Agawam,Kevin Reed,LIB,179,FALSE
Alford,Maura Healey,DEM,217,TRUE
Alford,Geoff Diehl,REP,42,FALSE
Alford,Kevin Reed,LIB,2,FALSE
Amesbury,Maura Healey,DEM,5007,TRUE
Amesbury,Geoff Diehl,REP,2447,FALSE
Amesbury,Kevin Reed,LIB,121,FALSE
Amherst,Maura Healey,DEM,7366,TRUE
Amherst,Geoff Diehl,REP,620,FALSE
Amherst,Kevin Reed,LIB,94,FALSE
Andover,Maura Healey,DEM,9957,TRUE
Andover,Geoff Diehl,REP,5427,FALSE
Andover,Kevin Reed,LIB,242,FALSE
Aquinnah,Maura Healey,DEM,221,TRUE
Aquinnah,Geoff Diehl,REP,37,FALSE
Aquinnah,Kevin Reed,LIB,4,FALSE
Arlington,Maura Healey,DEM,18392,TRUE
Arlington,Geoff Diehl,REP,3460,FALSE
Arlington,Kevin Reed,LIB,288,FALSE
Ashburnham,Maura Healey,DEM,1453,TRUE
Ashburnham,Geoff Diehl,REP,1320,FALSE
Ashburnham,Kevin Reed,LIB,55,FALSE
Ashby,Maura Healey,DEM,686,FALSE
Ashby,Geoff Diehl,REP,743,TRUE
Ashby,Kevin Reed,LIB,19,FALSE
Ashfield,Maura Healey,DEM,772,TRUE
Ashfield,Geoff Diehl,REP,174,FALSE
Ashfield,Kevin Reed,LIB,19,FALSE
Ashland,Maura Healey,DEM,5103,TRUE
Ashland,Geoff Diehl,REP,2155,FALSE
Ashland,Kevin Reed,LIB,110,FALSE
Athol,Maura Healey,DEM,1796,TRUE
Athol,Geoff Diehl,REP,1778,FALSE
Athol,Kevin Reed,LIB,76,FALSE
Attleboro,Maura Healey,DEM,8945,TRUE
Attleboro,Geoff Diehl,REP,6434,FALSE
Attleboro,Kevin Reed,LIB,288,FALSE
Auburn,Maura Healey,DEM,3925,TRUE
Auburn,Geoff Diehl,REP,3079,FALSE
Auburn,Kevin Reed,LIB,137,FALSE
Avon,Maura Healey,DEM,895,TRUE
Avon,Geoff Diehl,REP,733,FALSE
Avon,Kevin Reed,LIB,23,FALSE
Ayer,Maura Healey,DEM,1994,TRUE
Ayer,Geoff Diehl,REP,1146,FALSE
Ayer,Kevin Reed,LIB,88,FALSE
Barnstable,Maura Healey,DEM,11989,TRUE
Barnstable,Geoff Diehl,REP,9451,FALSE
Barnstable,Kevin Reed,LIB,306,FALSE
Barre,Maura Healey,DEM,1009,FALSE
Barre,Geoff Diehl,REP,1138,TRUE
Barre,Kevin Reed,LIB,44,FALSE
Becket,Maura Healey,DEM,503,TRUE
Becket,Geoff Diehl,REP,288,FALSE
Becket,Kevin Reed,LIB,13,FALSE
Bedford,Maura Healey,DEM,4661,TRUE
Bedford,Geoff Diehl,REP,1840,FALSE
Bedford,Kevin Reed,LIB,97,FALSE
Belchertown,Maura Healey,DEM,4106,TRUE
Belchertown,Geoff Diehl,REP,2694,FALSE
Belchertown,Kevin Reed,LIB,122,FALSE
Bellingham,Maura Healey,DEM,3447,TRUE
Bellingham,Geoff Diehl,REP,3114,FALSE
Bellingham,Kevin Reed,LIB,120,FALSE
Belmont,Maura Healey,DEM,9043,TRUE
Belmont,Geoff Diehl,REP,2669,FALSE
Belmont,Kevin Reed,LIB,229,FALSE
Berkley,Maura Healey,DEM,1131,FALSE
Berkley,Geoff Diehl,REP,1611,TRUE
Berkley,Kevin Reed,LIB,55,FALSE
Berlin,Maura Healey,DEM,1057,TRUE
Berlin,Geoff Diehl,REP,739,FALSE
Berlin,Kevin Reed,LIB,42,FALSE
Bernardston,Maura Healey,DEM,640,TRUE
Bernardston,Geoff Diehl,REP,320,FALSE
Bernardston,Kevin Reed,LIB,19,FALSE
Beverly,Maura Healey,DEM,12110,TRUE
Beverly,Geoff Diehl,REP,5337,FALSE
Beverly,Kevin Reed,LIB,282,FALSE
Billerica,Maura Healey,DEM,9057,TRUE
Billerica,Geoff Diehl,REP,7845,FALSE
Billerica,Kevin Reed,LIB,277,FALSE
Blackstone,Maura Healey,DEM,1519,FALSE
Blackstone,Geoff Diehl,REP,1782,TRUE
Blackstone,Kevin Reed,LIB,44,FALSE
Blandford,Maura Healey,DEM,234,FALSE
Blandford,Geoff Diehl,REP,358,TRUE
Blandford,Kevin Reed,LIB,26,FALSE
Bolton,Maura Healey,DEM,1893,TRUE
Bolton,Geoff Diehl,REP,899,FALSE
Bolton,Kevin Reed,LIB,62,FALSE
Boston,Maura Healey,DEM,144653,TRUE
Boston,Geoff Diehl,REP,30946,FALSE
Boston,Kevin Reed,LIB,2510,FALSE
Bourne,Maura Healey,DEM,4764,TRUE
Bourne,Geoff Diehl,REP,4200,FALSE
Bourne,Kevin Reed,LIB,132,FALSE
Boxborough,Maura Healey,DEM,1736,TRUE
Boxborough,Geoff Diehl,REP,668,FALSE
Boxborough,Kevin Reed,LIB,44,FALSE
Boxford,Maura Healey,DEM,2254,TRUE
Boxford,Geoff Diehl,REP,1794,FALSE
Boxford,Kevin Reed,LIB,80,FALSE
Boylston,Maura Healey,DEM,1458,TRUE
Boylston,Geoff Diehl,REP,1111,FALSE
Boylston,Kevin Reed,LIB,42,FALSE
Braintree,Maura Healey,DEM,8252,TRUE
Braintree,Geoff Diehl,REP,6444,FALSE
Braintree,Kevin Reed,LIB,214,FALSE
Brewster,Maura Healey,DEM,3880,TRUE
Brewster,Geoff Diehl,REP,1987,FALSE
Brewster,Kevin Reed,LIB,82,FALSE
Bridgewater,Maura Healey,DEM,5000,TRUE
Bridgewater,Geoff Diehl,REP,4933,FALSE
Bridgewater,Kevin Reed,LIB,143,FALSE
Brimfield,Maura Healey,DEM,734,FALSE
Brimfield,Geoff Diehl,REP,967,TRUE
Brimfield,Kevin Reed,LIB,35,FALSE
Brockton,Maura Healey,DEM,14557,TRUE
Brockton,Geoff Diehl,REP,5676,FALSE
Brockton,Kevin Reed,LIB,322,FALSE
Brookfield,Maura Healey,DEM,684,FALSE
Brookfield,Geoff Diehl,REP,744,TRUE
Brookfield,Kevin Reed,LIB,44,FALSE
Brookline,Maura Healey,DEM,18699,TRUE
Brookline,Geoff Diehl,REP,2678,FALSE
Brookline,Kevin Reed,LIB,241,FALSE
Buckland,Maura Healey,DEM,676,TRUE
Buckland,Geoff Diehl,REP,222,FALSE
Buckland,Kevin Reed,LIB,13,FALSE
Burlington,Maura Healey,DEM,6333,TRUE
Burlington,Geoff Diehl,REP,4216,FALSE
Burlington,Kevin Reed,LIB,158,FALSE
Cambridge,Maura Healey,DEM,33312,TRUE
Cambridge,Geoff Diehl,REP,2768,FALSE
Cambridge,Kevin Reed,LIB,423,FALSE
Canton,Maura Healey,DEM,6345,TRUE
Canton,Geoff Diehl,REP,3797,FALSE
Canton,Kevin Reed,LIB,131,FALSE
Carlisle,Maura Healey,DEM,2132,TRUE
Carlisle,Geoff Diehl,REP,669,FALSE
Carlisle,Kevin Reed,LIB,38,FALSE
Carver,Maura Healey,DEM,2282,FALSE
Carver,Geoff Diehl,REP,2667,TRUE
Carver,Kevin Reed,LIB,75,FALSE
Charlemont,Maura Healey,DEM,357,TRUE
Charlemont,Geoff Diehl,REP,163,FALSE
Charlemont,Kevin Reed,LIB,10,FALSE
Charlton,Maura Healey,DEM,2478,FALSE
Charlton,Geoff Diehl,REP,3135,TRUE
Charlton,Kevin Reed,LIB,99,FALSE
Chatham,Maura Healey,DEM,2379,TRUE
Chatham,Geoff Diehl,REP,1602,FALSE
Chatham,Kevin Reed,LIB,59,FALSE
Chelmsford,Maura Healey,DEM,10055,TRUE
Chelmsford,Geoff Diehl,REP,5920,FALSE
Chelmsford,Kevin Reed,LIB,279,FALSE
Chelsea,Maura Healey,DEM,3787,TRUE
Chelsea,Geoff Diehl,REP,1206,FALSE
Chelsea,Kevin Reed,LIB,124,FALSE
Cheshire,Maura Healey,DEM,736,TRUE
Cheshire,Geoff Diehl,REP,601,FALSE
Cheshire,Kevin Reed,LIB,22,FALSE
Chester,Maura Healey,DEM,202,FALSE
Chester,Geoff Diehl,REP,328,TRUE
Chester,Kevin Reed,LIB,20,FALSE
Chesterfield,Maura Healey,DEM,417,TRUE
Chesterfield,Geoff Diehl,REP,229,FALSE
Chesterfield,Kevin Reed,LIB,10,FALSE
Chicopee,Maura Healey,DEM,8728,TRUE
Chicopee,Geoff Diehl,REP,6986,FALSE
Chicopee,Kevin Reed,LIB,310,FALSE
Chilmark,Maura Healey,DEM,634,TRUE
Chilmark,Geoff Diehl,REP,107,FALSE
Chilmark,Kevin Reed,LIB,13,FALSE
Clarksburg,Maura Healey,DEM,415,TRUE
Clarksburg,Geoff Diehl,REP,272,FALSE
Clarksburg,Kevin Reed,LIB,8,FALSE
Clinton,Maura Healey,DEM,2952,TRUE
Clinton,Geoff Diehl,REP,2070,FALSE
Clinton,Kevin Reed,LIB,100,FALSE
Cohasset,Maura Healey,DEM,2725,TRUE
Cohasset,Geoff Diehl,REP,1465,FALSE
Cohasset,Kevin Reed,LIB,62,FALSE
Colrain,Maura Healey,DEM,475,TRUE
Colrain,Geoff Diehl,REP,244,FALSE
Colrain,Kevin Reed,LIB,9,FALSE
Concord,Maura Healey,DEM,7639,TRUE
Concord,Geoff Diehl,REP,1842,FALSE
Concord,Kevin Reed,LIB,135,FALSE
Conway,Maura Healey,DEM,822,TRUE
Conway,Geoff Diehl,REP,236,FALSE
Conway,Kevin Reed,LIB,13,FALSE
Cummington,Maura Healey,DEM,340,TRUE
Cummington,Geoff Diehl,REP,117,FALSE
Cummington,Kevin Reed,LIB,8,FALSE
Dalton,Maura Healey,DEM,1781,TRUE
Dalton,Geoff Diehl,REP,753,FALSE
Dalton,Kevin Reed,LIB,39,FALSE
Danvers,Maura Healey,DEM,6743,TRUE
Danvers,Geoff Diehl,REP,5120,FALSE
Danvers,Kevin Reed,LIB,164,FALSE
Dartmouth,Maura Healey,DEM,6801,TRUE
Dartmouth,Geoff Diehl,REP,5669,FALSE
Dartmouth,Kevin Reed,LIB,199,FALSE
Dedham,Maura Healey,DEM,7345,TRUE
Dedham,Geoff Diehl,REP,3622,FALSE
Dedham,Kevin Reed,LIB,142,FALSE
Deerfield,Maura Healey,DEM,1825,TRUE
Deerfield,Geoff Diehl,REP,695,FALSE
Deerfield,Kevin Reed,LIB,45,FALSE
Dennis,Maura Healey,DEM,4957,TRUE
Dennis,Geoff Diehl,REP,3465,FALSE
Dennis,Kevin Reed,LIB,109,FALSE
Dighton,Maura Healey,DEM,1428,FALSE
Dighton,Geoff Diehl,REP,1724,TRUE
Dighton,Kevin Reed,LIB,48,FALSE
Douglas,Maura Healey,DEM,1654,FALSE
Douglas,Geoff Diehl,REP,2191,TRUE
Douglas,Kevin Reed,LIB,86,FALSE
Dover,Maura Healey,DEM,1863,TRUE
Dover,Geoff Diehl,REP,1076,FALSE
Dover,Kevin Reed,LIB,58,FALSE
Dracut,Maura Healey,DEM,5516,FALSE
Dracut,Geoff Diehl,REP,5990,TRUE
Dracut,Kevin Reed,LIB,157,FALSE
Dudley,Maura Healey,DEM,1836,FALSE
Dudley,Geoff Diehl,REP,2238,TRUE
Dudley,Kevin Reed,LIB,93,FALSE
Dunstable,Maura Healey,DEM,943,TRUE
Dunstable,Geoff Diehl,REP,740,FALSE
Dunstable,Kevin Reed,LIB,28,FALSE
Duxbury,Maura Healey,DEM,4837,TRUE
Duxbury,Geoff Diehl,REP,3408,FALSE
Duxbury,Kevin Reed,LIB,89,FALSE
E. Bridgewater,Maura Healey,DEM,2814,FALSE
E. Bridgewater,Geoff Diehl,REP,3301,TRUE
E. Bridgewater,Kevin Reed,LIB,77,FALSE
E. Brookfield,Maura Healey,DEM,424,FALSE
E. Brookfield,Geoff Diehl,REP,517,TRUE
E. Brookfield,Kevin Reed,LIB,25,FALSE
E. Longmeadow,Maura Healey,DEM,3557,TRUE
E. Longmeadow,Geoff Diehl,REP,3339,FALSE
E. Longmeadow,Kevin Reed,LIB,108,FALSE
Eastham,Maura Healey,DEM,2315,TRUE
Eastham,Geoff Diehl,REP,1018,FALSE
Eastham,Kevin Reed,LIB,41,FALSE
Easthampton,Maura Healey,DEM,5903,TRUE
Easthampton,Geoff Diehl,REP,1951,FALSE
Easthampton,Kevin Reed,LIB,110,FALSE
Easton,Maura Healey,DEM,5866,TRUE
Easton,Geoff Diehl,REP,4153,FALSE
Easton,Kevin Reed,LIB,160,FALSE
Edgartown,Maura Healey,DEM,1518,TRUE
Edgartown,Geoff Diehl,REP,624,FALSE
Edgartown,Kevin Reed,LIB,37,FALSE
Egremont,Maura Healey,DEM,609,TRUE
Egremont,Geoff Diehl,REP,135,FALSE
Egremont,Kevin Reed,LIB,7,FALSE
Erving,Maura Healey,DEM,373,TRUE
Erving,Geoff Diehl,REP,269,FALSE
Erving,Kevin Reed,LIB,12,FALSE
Essex,Maura Healey,DEM,1179,TRUE
Essex,Geoff Diehl,REP,623,FALSE
Essex,Kevin Reed,LIB,34,FALSE
Everett,Maura Healey,DEM,5459,TRUE
Everett,Geoff Diehl,REP,2472,FALSE
Everett,Kevin Reed,LIB,229,FALSE
Fairhaven,Maura Healey,DEM,3640,TRUE
Fairhaven,Geoff Diehl,REP,3000,FALSE
Fairhaven,Kevin Reed,LIB,119,FALSE
Fall River,Maura Healey,DEM,10231,TRUE
Fall River,Geoff Diehl,REP,7323,FALSE
Fall River,Kevin Reed,LIB,395,FALSE
Falmouth,Maura Healey,DEM,10973,TRUE
Falmouth,Geoff Diehl,REP,6201,FALSE
Falmouth,Kevin Reed,LIB,204,FALSE
Fitchburg,Maura Healey,DEM,5653,TRUE
Fitchburg,Geoff Diehl,REP,4112,FALSE
Fitchburg,Kevin Reed,LIB,184,FALSE
Florida,Maura Healey,DEM,132,FALSE
Florida,Geoff Diehl,REP,145,TRUE
Florida,Kevin Reed,LIB,7,FALSE
Foxborough,Maura Healey,DEM,4472,TRUE
Foxborough,Geoff Diehl,REP,3393,FALSE
Foxborough,Kevin Reed,LIB,136,FALSE
Framingham,Maura Healey,DEM,16208,TRUE
Framingham,Geoff Diehl,REP,5543,FALSE
Framingham,Kevin Reed,LIB,325,FALSE
Franklin,Maura Healey,DEM,8611,TRUE
Franklin,Geoff Diehl,REP,5662,FALSE
Franklin,Kevin Reed,LIB,225,FALSE
Freetown,Maura Healey,DEM,1641,FALSE
Freetown,Geoff Diehl,REP,2109,TRUE
Freetown,Kevin Reed,LIB,66,FALSE
Gardner,Maura Healey,DEM,3376,TRUE
Gardner,Geoff Diehl,REP,2610,FALSE
Gardner,Kevin Reed,LIB,135,FALSE
Georgetown,Maura Healey,DEM,2145,TRUE
Georgetown,Geoff Diehl,REP,1803,FALSE
Georgetown,Kevin Reed,LIB,63,FALSE
Gill,Maura Healey,DEM,527,TRUE
Gill,Geoff Diehl,REP,232,FALSE
Gill,Kevin Reed,LIB,14,FALSE
Gloucester,Maura Healey,DEM,8882,TRUE
Gloucester,Geoff Diehl,REP,4148,FALSE
Gloucester,Kevin Reed,LIB,214,FALSE
Goshen,Maura Healey,DEM,319,TRUE
Goshen,Geoff Diehl,REP,189,FALSE
Goshen,Kevin Reed,LIB,6,FALSE
Gosnold,Maura Healey,DEM,39,TRUE
Gosnold,Geoff Diehl,REP,13,FALSE
Gosnold,Kevin Reed,LIB,1,FALSE
Grafton,Maura Healey,DEM,4840,TRUE
Grafton,Geoff Diehl,REP,3060,FALSE
Grafton,Kevin Reed,LIB,132,FALSE
Granby,Maura Healey,DEM,1416,FALSE
Granby,Geoff Diehl,REP,1419,TRUE
Granby,Kevin Reed,LIB,46,FALSE
Granville,Maura Healey,DEM,279,FALSE
Granville,Geoff Diehl,REP,453,TRUE
Granville,Kevin Reed,LIB,17,FALSE
Great Barrington,Maura Healey,DEM,2417,TRUE
Great Barrington,Geoff Diehl,REP,515,FALSE
Great Barrington,Kevin Reed,LIB,48,FALSE
Greenfield,Maura Healey,DEM,5127,TRUE
Greenfield,Geoff Diehl,REP,1778,FALSE
Greenfield,Kevin Reed,LIB,68,FALSE
Groton,Maura Healey,DEM,3618,TRUE
Groton,Geoff Diehl,REP,1761,FALSE
Groton,Kevin Reed,LIB,111,FALSE
Groveland,Maura Healey,DEM,1733,TRUE
Groveland,Geoff Diehl,REP,1563,FALSE
Groveland,Kevin Reed,LIB,52,FALSE
Hadley,Maura Healey,DEM,1788,TRUE
Hadley,Geoff Diehl,REP,720,FALSE
Hadley,Kevin Reed,LIB,35,FALSE
Halifax,Maura Healey,DEM,1579,FALSE
Halifax,Geoff Diehl,REP,1910,TRUE
Halifax,Kevin Reed,LIB,54,FALSE
Hamilton,Maura Healey,DEM,2377,TRUE
Hamilton,Geoff Diehl,REP,1257,FALSE
Hamilton,Kevin Reed,LIB,63,FALSE
Hampden,Maura Healey,DEM,1026,FALSE
Hampden,Geoff Diehl,REP,1266,TRUE
Hampden,Kevin Reed,LIB,38,FALSE
Hancock,Maura Healey,DEM,182,TRUE
Hancock,Geoff Diehl,REP,152,FALSE
Hancock,Kevin Reed,LIB,14,FALSE
Hanover,Maura Healey,DEM,3524,FALSE
Hanover,Geoff Diehl,REP,3727,TRUE
Hanover,Kevin Reed,LIB,70,FALSE
Hanson,Maura Healey,DEM,2205,FALSE
Hanson,Geoff Diehl,REP,2707,TRUE
Hanson,Kevin Reed,LIB,88,FALSE
Hardwick,Maura Healey,DEM,506,FALSE
Hardwick,Geoff Diehl,REP,573,TRUE
Hardwick,Kevin Reed,LIB,27,FALSE
Harvard,Maura Healey,DEM,2298,TRUE
Harvard,Geoff Diehl,REP,819,FALSE
Harvard,Kevin Reed,LIB,61,FALSE
Harwich,Maura Healey,DEM,4447,TRUE
Harwich,Geoff Diehl,REP,2872,FALSE
Harwich,Kevin Reed,LIB,106,FALSE
Hatfield,Maura Healey,DEM,1184,TRUE
Hatfield,Geoff Diehl,REP,545,FALSE
Hatfield,Kevin Reed,LIB,30,FALSE
Haverhill,Maura Healey,DEM,11954,TRUE
Haverhill,Geoff Diehl,REP,8527,FALSE
Haverhill,Kevin Reed,LIB,339,FALSE
Hawley,Maura Healey,DEM,108,TRUE
Hawley,Geoff Diehl,REP,48,FALSE
Hawley,Kevin Reed,LIB,2,FALSE
Heath,Maura Healey,DEM,238,TRUE
Heath,Geoff Diehl,REP,121,FALSE
Heath,Kevin Reed,LIB,4,FALSE
Hingham,Maura Healey,DEM,7798,TRUE
Hingham,Geoff Diehl,REP,4397,FALSE
Hingham,Kevin Reed,LIB,182,FALSE
Hinsdale,Maura Healey,DEM,522,TRUE
Hinsdale,Geoff Diehl,REP,315,FALSE
Hinsdale,Kevin Reed,LIB,15,FALSE
Holbrook,Maura Healey,DEM,2194,TRUE
Holbrook,Geoff Diehl,REP,1610,FALSE
Holbrook,Kevin Reed,LIB,69,FALSE
Holden,Maura Healey,DEM,5253,TRUE
Holden,Geoff Diehl,REP,3897,FALSE
Holden,Kevin Reed,LIB,148,FALSE
Holland,Maura Healey,DEM,470,FALSE
Holland,Geoff Diehl,REP,561,TRUE
Holland,Kevin Reed,LIB,29,FALSE
Holliston,Maura Healey,DEM,4825,TRUE
Holliston,Geoff Diehl,REP,2172,FALSE
Holliston,Kevin Reed,LIB,139,FALSE
Holyoke,Maura Healey,DEM,6520,TRUE
Holyoke,Geoff Diehl,REP,2991,FALSE
Holyoke,Kevin Reed,LIB,145,FALSE
Hopedale,Maura Healey,DEM,1472,TRUE
Hopedale,Geoff Diehl,REP,964,FALSE
Hopedale,Kevin Reed,LIB,52,FALSE
Hopkinton,Maura Healey,DEM,5164,TRUE
Hopkinton,Geoff Diehl,REP,2574,FALSE
Hopkinton,Kevin Reed,LIB,100,FALSE
Hubbardston,Maura Healey,DEM,966,FALSE
Hubbardston,Geoff Diehl,REP,1176,TRUE
Hubbardston,Kevin Reed,LIB,53,FALSE
Hudson,Maura Healey,DEM,5209,TRUE
Hudson,Geoff Diehl,REP,2887,FALSE
Hudson,Kevin Reed,LIB,154,FALSE
Hull,Maura Healey,DEM,3362,TRUE
Hull,Geoff Diehl,REP,1871,FALSE
Hull,Kevin Reed,LIB,80,FALSE
Huntington,Maura Healey,DEM,411,FALSE
Huntington,Geoff Diehl,REP,461,TRUE
Huntington,Kevin Reed,LIB,14,FALSE
Ipswich,Maura Healey,DEM,4744,TRUE
Ipswich,Geoff Diehl,REP,2535,FALSE
Ipswich,Kevin Reed,LIB,109,FALSE
Kingston,Maura Healey,DEM,3167,TRUE
Kingston,Geoff Diehl,REP,2998,FALSE
Kingston,Kevin Reed,LIB,102,FALSE
Lakeville,Maura Healey,DEM,2329,FALSE
Lakeville,Geoff Diehl,REP,3050,TRUE
Lakeville,Kevin Reed,LIB,105,FALSE
Lancaster,Maura Healey,DEM,1667,TRUE
Lancaster,Geoff Diehl,REP,1365,FALSE
Lancaster,Kevin Reed,LIB,55,FALSE
Lanesborough,Maura Healey,DEM,812,TRUE
Lanesborough,Geoff Diehl,REP,427,FALSE
Lanesborough,Kevin Reed,LIB,36,FALSE
Lawrence,Maura Healey,DEM,7203,TRUE
Lawrence,Geoff Diehl,REP,2691,FALSE
Lawrence,Kevin Reed,LIB,188,FALSE
Lee,Maura Healey,DEM,1603,TRUE
Lee,Geoff Diehl,REP,733,FALSE
Lee,Kevin Reed,LIB,40,FALSE
Leicester,Maura Healey,DEM,2046,FALSE
Leicester,Geoff Diehl,REP,2292,TRUE
Leicester,Kevin Reed,LIB,93,FALSE
Lenox,Maura Healey,DEM,1976,TRUE
Lenox,Geoff Diehl,REP,490,FALSE
Lenox,Kevin Reed,LIB,38,FALSE
Leominster,Maura Healey,DEM,7864,TRUE
Leominster,Geoff Diehl,REP,6117,FALSE
Leominster,Kevin Reed,LIB,289,FALSE
Leverett,Maura Healey,DEM,930,TRUE
Leverett,Geoff Diehl,REP,136,FALSE
Leverett,Kevin Reed,LIB,14,FALSE
Lexington,Maura Healey,DEM,11419,TRUE
Lexington,Geoff Diehl,REP,2960,FALSE
Lexington,Kevin Reed,LIB,191,FALSE
Leyden,Maura Healey,DEM,256,TRUE
Leyden,Geoff Diehl,REP,123,FALSE
Leyden,Kevin Reed,LIB,13,FALSE
Lincoln,Maura Healey,DEM,2693,TRUE
Lincoln,Geoff Diehl,REP,567,FALSE
Lincoln,Kevin Reed,LIB,53,FALSE
Littleton,Maura Healey,DEM,3275,TRUE
Littleton,Geoff Diehl,REP,1659,FALSE
Littleton,Kevin Reed,LIB,91,FALSE
Longmeadow,Maura Healey,DEM,4469,TRUE
Longmeadow,Geoff Diehl,REP,2677,FALSE
Longmeadow,Kevin Reed,LIB,116,FALSE
Lowell,Maura Healey,DEM,13740,TRUE
Lowell,Geoff Diehl,REP,6608,FALSE
Lowell,Kevin Reed,LIB,461,FALSE
Ludlow,Maura Healey,DEM,3682,FALSE
Ludlow,Geoff Diehl,REP,4140,TRUE
Ludlow,Kevin Reed,LIB,118,FALSE
Lunenburg,Maura Healey,DEM,2831,TRUE
Lunenburg,Geoff Diehl,REP,2315,FALSE
Lunenburg,Kevin Reed,LIB,116,FALSE
Lynn,Maura Healey,DEM,13232,TRUE
Lynn,Geoff Diehl,REP,6215,FALSE
Lynn,Kevin Reed,LIB,334,FALSE
Lynnfield,Maura Healey,DEM,2886,FALSE
Lynnfield,Geoff Diehl,REP,2990,TRUE
Lynnfield,Kevin Reed,LIB,79,FALSE
Malden,Maura Healey,DEM,10982,TRUE
Malden,Geoff Diehl,REP,3654,FALSE
Malden,Kevin Reed,LIB,247,FALSE
Manchester-by-the-Sea,Maura Healey,DEM,1981,TRUE
Manchester-by-the-Sea,Geoff Diehl,REP,859,FALSE
Manchester-by-the-Sea,Kevin Reed,LIB,44,FALSE
Mansfield,Maura Healey,DEM,6011,TRUE
Mansfield,Geoff Diehl,REP,3959,FALSE
Mansfield,Kevin Reed,LIB,165,FALSE
Marblehead,Maura Healey,DEM,7230,TRUE
Marblehead,Geoff Diehl,REP,3158,FALSE
Marblehead,Kevin Reed,LIB,114,FALSE
Marion,Maura Healey,DEM,1689,TRUE
Marion,Geoff Diehl,REP,1047,FALSE
Marion,Kevin Reed,LIB,53,FALSE
Marlborough,Maura Healey,DEM,8293,TRUE
Marlborough,Geoff Diehl,REP,4581,FALSE
Marlborough,Kevin Reed,LIB,254,FALSE
Marshfield,Maura Healey,DEM,6832,TRUE
Marshfield,Geoff Diehl,REP,6058,FALSE
Marshfield,Kevin Reed,LIB,176,FALSE
Mashpee,Maura Healey,DEM,4493,TRUE
Mashpee,Geoff Diehl,REP,3379,FALSE
Mashpee,Kevin Reed,LIB,98,FALSE
Mattapoisett,Maura Healey,DEM,2114,TRUE
Mattapoisett,Geoff Diehl,REP,1591,FALSE
Mattapoisett,Kevin Reed,LIB,42,FALSE
Maynard,Maura Healey,DEM,3738,TRUE
Maynard,Geoff Diehl,REP,1334,FALSE
Maynard,Kevin Reed,LIB,80,FALSE
Medfield,Maura Healey,DEM,4033,TRUE
Medfield,Geoff Diehl,REP,2148,FALSE
Medfield,Kevin Reed,LIB,90,FALSE
Medford,Maura Healey,DEM,16179,TRUE
Medford,Geoff Diehl,REP,5207,FALSE
Medford,Kevin Reed,LIB,302,FALSE
Medway,Maura Healey,DEM,3662,TRUE
